AREAP;cor;value
2408102004016;amarela;0.012243360331512526
2408102004017;amarela;0.008595158382693794
2408102004018;amarela;0.007094324540367706
2408102004019;amarela;0.011512698855707508
2408102004020;amarela;0.010913251386158946
2408102004021;amarela;0.009499489274770173
2408102004022;amarela;0.006634030287779659
2408102004023;amarela;0.009130825936916736
2408201001001;amarela;0.009703735508802061
2412005003001;amarela;0.014093529788597053
2412005003002;amarela;0.012617714039514987
2412005003003;amarela;0.015638432881647357
2412005003004;amarela;0.01035559520774917
2412203003001;amarela;0.004560587403657591
2412203003002;amarela;0.010924981791697014
2403251005001;parda;0.4767043078209954
2403251005002;parda;0.4615436741885207
2403251005003;parda;0.4566128600731294
2403251005004;parda;0.4963827770293868
2403251005005;parda;0.5390587673196369
2403251005006;parda;0.5041526556739456
2403251005007;parda;0.4041332510795805
2403251005008;parda;0.3989697010777469
2403251005009;parda;0.31108017817371936
2403251005010;parda;0.5829987452948557
2403251005011;parda;0.41869673176296895
2403608001001;parda;0.6091416012047702
2407104003001;parda;0.6077826782717303
2407104003002;parda;0.6341285408018975
2408102004001;parda;0.3529207834980066
2408102004002;parda;0.6126855600539811
2408102004003;parda;0.608915685233201
2408102004004;parda;0.43465499228894083
2408102004005;parda;0.5727014718500429
2408102004006;parda;0.3708749954217485
2408102004007;parda;0.46552241293117813
2408102004008;parda;0.5394724461311671
2408102004009;parda;0.5400764661705468
2408102004010;parda;0.5596533724540275
2408102004011;parda;0.3328175413182327
2408102004012;parda;0.3747519924672966
2408102004013;parda;0.4514727184934814
2408102004014;parda;0.5161994449468333
2408102004015;parda;0.515470548408937
2408102004016;parda;0.5309851196082125
2408102004017;parda;0.30121684264743753
2408102004018;parda;0.45347055688782306
2408102004019;parda;0.518420318169132
2408102004020;parda;0.5265350426848945
2408102004021;parda;0.5409942117807286
2408102004022;parda;0.5712128837443382
2408102004023;parda;0.5464799323244666
2408201001001;parda;0.6106054100472306
2412005003001;parda;0.593465727098014
2412005003002;parda;0.5096940973718225
2412005003003;parda;0.562942645433332
2412005003004;parda;0.6314364007137395
2412203003001;parda;0.5906416746476946
