"Tabela 202 - População residente, por sexo e situação do domicílio"
"Variável - População residente - percentual do total geral"
"Cód.","Município","Situação do domicílio","Ano x Sexo"
"Cód.","Município","Situação do domicílio","2000","2010"
"Cód.","Município","Situação do domicílio","Total","Total"
"1504000","Limoeiro do Ajuru (PA)","Urbana","19.27","24.77"
"1504059","Mãe do Rio (PA)","Urbana","73.91","82.61"
"1504109","Magalhães Barata (PA)","Urbana","51.71","46.77"
"1504208","Marabá (PA)","Urbana","79.97","79.72"
"1504307","Maracanã (PA)","Urbana","42.48","41.08"
"1504406","Marapanim (PA)","Urbana","38.39","43.99"
"1504422","Marituba (PA)","Urbana","87.18","98.96"
"1504455","Medicilândia (PA)","Urbana","31.62","34.98"
"1504505","Melgaço (PA)","Urbana","15.10","22.18"
"1504604","Mocajuba (PA)","Urbana","70.88","68.38"
"1504703","Moju (PA)","Urbana","33.29","35.94"
"1504802","Monte Alegre (PA)","Urbana","34.11","44.29"
"1504901","Muaná (PA)","Urbana","29.99","42.45"
"1504950","Nova Esperança do Piriá (PA)","Urbana","27.81","39.51"
"1504976","Nova Ipixuna (PA)","Urbana","43.88","52.76"
"1505007","Nova Timboteua (PA)","Urbana","43.71","40.38"
"1505031","Novo Progresso (PA)","Urbana","38.59","70.52"
"1505064","Novo Repartimento (PA)","Urbana","37.12","45.04"
"1505106","Óbidos (PA)","Urbana","49.43","51.62"
"1505205","Oeiras do Pará (PA)","Urbana","34.32","39.98"
"1505304","Oriximiná (PA)","Urbana","60.38","63.93"
"1505403","Ourém (PA)","Urbana","45.26","45.60"
"1505437","Ourilândia do Norte (PA)","Urbana","49.76","72.78"
"1505486","Pacajá (PA)","Urbana","26.32","34.39"
"1505494","Palestina do Pará (PA)","Urbana","50.90","60.82"
"1505502","Paragominas (PA)","Urbana","76.18","78.22"
"1505536","Parauapebas (PA)","Urbana","82.80","90.11"
"1505551","Pau D'Arco (PA)","Urbana","45.09","60.35"
"1505601","Peixe-Boi (PA)","Urbana","50.27","53.08"
"1505635","Piçarra (PA)","Urbana","21.74","28.20"
"1505650","Placas (PA)","Urbana","26.38","20.28"
"1505700","Ponta de Pedras (PA)","Urbana","46.22","47.79"
"1505809","Portel (PA)","Urbana","45.54","47.63"
"1505908","Porto de Moz (PA)","Urbana","43.45","42.95"
"1506005","Prainha (PA)","Urbana","26.19","30.53"
"1506104","Primavera (PA)","Urbana","65.54","62.24"
"1506112","Quatipuru (PA)","Urbana","39.79","42.81"
"1506138","Redenção (PA)","Urbana","94.25","92.73"
"1506161","Rio Maria (PA)","Urbana","73.38","76.35"
"1506187","Rondon do Pará (PA)","Urbana","75.40","73.88"
"1506195","Rurópolis (PA)","Urbana","34.14","38.10"
"1506203","Salinópolis (PA)","Urbana","90.94","89.23"
"1506302","Salvaterra (PA)","Urbana","57.22","62.79"
"1506351","Santa Bárbara do Pará (PA)","Urbana","35.23","31.84"
"1506401","Santa Cruz do Arari (PA)","Urbana","42.72","48.98"
"1506500","Santa Izabel do Pará (PA)","Urbana","76.52","72.31"
"1506559","Santa Luzia do Pará (PA)","Urbana","43.52","44.75"
"1506583","Santa Maria das Barreiras (PA)","Urbana","13.30","36.95"
"1506609","Santa Maria do Pará (PA)","Urbana","56.16","57.88"
"1506708","Santana do Araguaia (PA)","Urbana","55.50","52.83"
"1506807","Santarém (PA)","Urbana","70.96","73.25"
"1506906","Santarém Novo (PA)","Urbana","27.38","29.46"
"1507003","Santo Antônio do Tauá (PA)","Urbana","52.37","55.75"
"1507102","São Caetano de Odivelas (PA)","Urbana","42.00","41.19"
"1507151","São Domingos do Araguaia (PA)","Urbana","54.38","65.95"
"1507201","São Domingos do Capim (PA)","Urbana","21.44","22.08"
"1507300","São Félix do Xingu (PA)","Urbana","36.19","49.39"
"1507409","São Francisco do Pará (PA)","Urbana","34.45","33.95"
"1507458","São Geraldo do Araguaia (PA)","Urbana","43.16","53.11"
"1507466","São João da Ponta (PA)","Urbana","26.05","19.58"
"1507474","São João de Pirabas (PA)","Urbana","56.23","50.79"
"1507508","São João do Araguaia (PA)","Urbana","19.70","19.66"
"1507607","São Miguel do Guamá (PA)","Urbana","59.12","61.83"
"1507706","São Sebastião da Boa Vista (PA)","Urbana","40.65","43.23"
"1507755","Sapucaia (PA)","Urbana","70.65","65.88"
"1507805","Senador José Porfírio (PA)","Urbana","33.91","49.60"
"1507904","Soure (PA)","Urbana","86.70","91.37"
"1507953","Tailândia (PA)","Urbana","73.18","74.04"
"1507961","Terra Alta (PA)","Urbana","44.69","42.23"
"1507979","Terra Santa (PA)","Urbana","75.14","60.98"
"1508001","Tomé-Açu (PA)","Urbana","57.78","55.85"
"1508035","Tracuateua (PA)","Urbana","20.56","26.43"
"1508050","Trairão (PA)","Urbana","21.42","33.65"
"1508084","Tucumã (PA)","Urbana","65.18","79.87"
"1508100","Tucuruí (PA)","Urbana","82.55","95.18"
"1508126","Ulianópolis (PA)","Urbana","61.85","65.82"
"1508159","Uruará (PA)","Urbana","29.13","54.54"
"1508209","Vigia (PA)","Urbana","69.71","67.56"
"1508308","Viseu (PA)","Urbana","32.25","32.44"
"1508357","Vitória do Xingu (PA)","Urbana","35.29","39.92"
"1508407","Xinguara (PA)","Urbana","74.57","77.62"
"1600055","Serra do Navio (AP)","Urbana","36.93","58.79"
"1600105","Amapá (AP)","Urbana","83.16","86.24"
"1600154","Pedra Branca do Amapari (AP)","Urbana","34.02","55.36"
"1600204","Calçoene (AP)","Urbana","78.32","81.19"
"1600212","Cutias (AP)","Urbana","43.96","52.00"
"1600238","Ferreira Gomes (AP)","Urbana","70.83","71.96"
"1600253","Itaubal (AP)","Urbana","39.94","41.13"
"1600279","Laranjal do Jari (AP)","Urbana","93.96","94.90"
"1600303","Macapá (AP)","Urbana","95.52","95.73"
"1600402","Mazagão (AP)","Urbana","49.82","48.57"
"1600501","Oiapoque (AP)","Urbana","60.86","67.54"
"1600535","Porto Grande (AP)","Urbana","66.78","64.30"
"1600550","Pracuúba (AP)","Urbana","42.39","49.59"
"1600600","Santana (AP)","Urbana","94.29","97.88"
"1600709","Tartarugalzinho (AP)","Urbana","48.91","51.87"
"1600808","Vitória do Jari (AP)","Urbana","80.37","82.89"
"1700251","Abreulândia (TO)","Urbana","49.02","61.73"
"1700301","Aguiarnópolis (TO)","Urbana","73.26","80.24"
"1700350","Aliança do Tocantins (TO)","Urbana","82.89","83.87"
"1700400","Almas (TO)","Urbana","65.81","79.21"
"1700707","Alvorada (TO)","Urbana","92.17","92.73"
"1701002","Ananás (TO)","Urbana","79.87","82.55"
"1701051","Angico (TO)","Urbana","56.73","61.04"
"1701101","Aparecida do Rio Negro (TO)","Urbana","73.61","78.64"
"1701309","Aragominas (TO)","Urbana","38.56","37.91"
"1701903","Araguacema (TO)","Urbana","56.00","46.30"
